21.11.2021 07:33:56 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:33:58 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Happenning';] 
21.11.2021 07:34:03 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:34:08 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:35:26 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:36:09 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:36:19 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:36:20 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:36:27 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:36:29 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:36:29 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:36:33 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:36:34 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:36:34 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:36:43 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:37:15 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:41:27 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:41:35 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:42:38 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:42:49 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:42:53 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:43:02 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:44:20 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:44:55 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:45:01 sql=[SELECT * from khuyenmai where tinhtrang = 'Notstarted' and ten_km like '%20k%'] 
21.11.2021 07:45:19 sql=[SELECT * from khuyenmai where tinhtrang = 'Notstarted' and ten_km like '%30k%'] 
21.11.2021 07:45:25 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:48:19 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:52:07 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:53:12 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:53:54 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:58:31 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:59:24 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 07:59:46 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 08:00:38 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 08:01:18 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 08:03:38 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 08:05:00 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 08:06:53 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 08:07:03 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 08:07:31 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 08:08:43 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 08:08:44 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
21.11.2021 08:08:56 sql=[SELECT * FROM khuyenmai where tinhtrang = 'Notstarted';] 
